Школа № 17,ул. Спирина; д. 8;  ,+7 (496) 616-87-20 ,
Школа № 30,ул. Цементников; д. 17; ,+7 (496) 613-94-24 ,
Школа № 20,ул. Шавырина; д. 5;  ,+7 (496) 618-14-88 ,
Школа № 14,ул. Шилова; д. 7;  ,+7 (496) 612-10-87 ,
Школа № 18,ул. Южная; д. 7;  ,+7 (496) 615-75-55,
Школа № 3,ул. Лазарева; д. 12;  ,+7 (496) 618-60-13 ,
Школа № 28,ул. Ларцевы Поляны;  ,+7 (496) 613-92-86,
Гимназия № 8,ул. Леваневского; д. 8;  ,+7 (496) 612-71-56 ,
Школа № 24,ул. Ленина; д. 1;  ,+7 (496) 613-30-96 ,
Специальная общеообразовательная школа -интернат № 27 для воспитанников с отклонениями в развитии,ул. Малая Запрудная; д. 36;  ,телефон не указан,
Школа № 1,ул. Менделеева; д. 18;  ,+7 (496) 612-15-61 ,
Гимназия № 9,ул. Октябрьской Революции; д. 322;  ,+7 (496) 613-43-02,
Гимназия № 1 открытая (сменная),ул. Октябрьской Революции; д. 408/а;  ,+7 (496) 613-34-98,
Песковская школа,пос. Пески; ул. Почтовая; д. 34;  ,+7 (496) 617-78-83,
Школа № 15,бульв. 800-летия Коломны; д. 9;  ,+7 (496) 618-30-17,
Школа № 29,ул. Дачная; д. 1/а; ,+7 (496) 615-23-13 ,
Специальная общеообразовательная школа -интернат № 19 для воспитанников с отклонениями в развитии,ул. Дачная; д. 40;  ,+7 (496) 615-26-93 ,
Школа № 16,ул. Девичье Поле; д. 9; ,+7 (496) 616-89-31 ,
Школа № 21,ул. Дзержинского; д. 11; ,+7 (496) 618-13-56,
Школа № 11,ул. Дзержинского; д. 27; ,+7 (496) 613-31-17,
Школа № 10,ул. Дзержинского; д. 90; ,+7 (496) 612-25-92,
Школа № 5,наб. Дмитрия Донского; д. 30;  ,+7 (496) 619-28-56,
Школа № 4,ул. Добролюбова; д. 2/а; ,+7 (496) 612-11-47,
Школа № 12,ул. Зеленая; д. 3;  ,+7 (496) 612-21-51,
Гимназия № 2 Квантор,ул. Калинина; д. 14/а; ,+7 (496) 613-31-13 ,